eval_scheme,task,model,target,metric,mean,std
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",SVR,岩石可钻性指数,R2,-16.324787121674632,19.566758209918437
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",SVR,岩石可钻性指数,RMSE,0.16454001194593265,0.06461637504089988
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",SVR,岩石可钻性指数,MAE,0.13225985833514406,0.0595111529239712
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",SVR,单轴抗压强度(MPa),R2,0.0,0.0
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",SVR,单轴抗压强度(MPa),RMSE,1.693008417960719,0.9557982816353271
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",SVR,单轴抗压强度(MPa),MAE,1.4994580180799737,0.9970365841251458
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",SVR,MACRO_AVG,R2,-8.162393560837316,11.543367675162953
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",SVR,MACRO_AVG,RMSE,0.9287742149533258,1.0807903747224485
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",SVR,MACRO_AVG,MAE,0.8158589382075588,0.9667550899813376
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",Random_Forest,岩石可钻性指数,R2,-39.282059156042656,43.03833020537977
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",Random_Forest,岩石可钻性指数,RMSE,0.27048255050661635,0.13608513890434415
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",Random_Forest,岩石可钻性指数,MAE,0.2502659832451499,0.1514588652283599
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",Random_Forest,单轴抗压强度(MPa),R2,0.0,0.0
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",Random_Forest,单轴抗压强度(MPa),RMSE,2.697762786598614,1.2817722663488105
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",Random_Forest,单轴抗压强度(MPa),MAE,2.520797630070543,1.4305555312478297
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",Random_Forest,MACRO_AVG,R2,-19.641029578021328,27.77661040820887
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",Random_Forest,MACRO_AVG,RMSE,1.484122668552615,1.7163463147807354
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",Random_Forest,MACRO_AVG,MAE,1.3855318066578464,1.6055083243688946
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",XGBoost,岩石可钻性指数,R2,-33.73045818107116,35.570211901737444
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",XGBoost,岩石可钻性指数,RMSE,0.23179653893420665,0.11048627505747599
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",XGBoost,岩石可钻性指数,MAE,0.2086921301152971,0.10873184570991593
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",XGBoost,单轴抗压强度(MPa),R2,0.0,0.0
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",XGBoost,单轴抗压强度(MPa),RMSE,2.515540829031621,0.8471435526714338
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",XGBoost,单轴抗压强度(MPa),MAE,2.288237268394894,0.9290149993212474
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",XGBoost,MACRO_AVG,R2,-16.86522909053558,23.851035712364673
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",XGBoost,MACRO_AVG,RMSE,1.3736686839829138,1.6148510740239395
GroupKFold(UCS),"Task_B: 4->[Id,UCS]",XGBoost,MACRO_AVG,MAE,1.2484646992550956,1.4704604690610197
